UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
ICICI Bank Apps,25.74,7049.36,29.14,7246.75,11,2021
ICICI Bank Apps,26.24,6167.22,29.27,6329.63,10,2021
ICICI Bank Apps,18.86,6395.93,22.11,6579.65,9,2021
ICICI Bank Apps,17.55,5476.78,19.81,5621.27,8,2021
ICICI Bank Apps,15.41,5761.98,18.26,5896.05,7,2021
ICICI Bank Apps,12.94,4958.01,15.29,5076.12,6,2021
ICICI Bank Apps,10.95,4411.52,13.16,4514.11,5,2021
ICICI Bank Apps,10.76,3672.3,14.37,3827.95,4,2021
ICICI Bank Apps,9.95,3703.08,13.95,3823.36,3,2021
ICICI Bank Apps,7.63,2393.8,9.93,2477.23,2,2021
ICICI Bank Apps,6.22,1835.97,10.46,1984.07,1,2021
IDBI Bank App,0.02,11.34,0.02,11.34,12,2021
IDBI Bank App,0.03,13.31,0.03,13.31,11,2021
IDBI Bank App,0.03,14.22,0.03,14.22,10,2021
IDBI Bank App,0.02,12,0.02,12,9,2021
IDBI Bank App,0.03,11.26,0.03,11.26,8,2021
IDBI Bank App,0.02,11.24,0.02,11.24,7,2021
IDBI Bank App,0.02,10.86,0.02,10.86,6,2021
IDBI Bank App,0.02,10.36,0.02,10.36,5,2021
IDBI Bank App,0.02,9.59,0.02,9.59,4,2021
IDBI Bank App,0.02,9.68,0.02,9.68,3,2021
IDBI Bank App,0.02,9.15,0.02,9.15,2,2021
IDBI Bank App,0.02,9.18,0.02,9.18,1,2021
IDFC Bank App,0.9,278.53,0.9,278.53,12,2021
IDFC Bank App,0.64,237.83,0.64,237.83,11,2021
IDFC Bank App,0.62,231.02,0.62,231.02,10,2021
IDFC Bank App,0.49,181.96,0.49,181.96,9,2021
IDFC Bank App,0.4,155.19,0.4,155.19,8,2021
IDFC Bank App,0.3,130.1,0.3,130.1,7,2021
IDFC Bank App,0.21,101.74,0.21,101.74,6,2021
IDFC Bank App,0.15,72.34,0.15,72.34,5,2021
IDFC Bank App,0.15,65.23,0.15,65.23,4,2021
IDFC Bank App,0.13,60.84,0.13,60.84,3,2021
IDFC Bank App,0.1,47.09,0.1,47.09,2,2021
IDFC Bank App,0.08,41.87,0.08,41.87,1,2021
India Post Payments Bank App,2.76,321.16,2.76,321.16,12,2021
India Post Payments Bank App,2.3,286.07,2.3,286.07,11,2021
India Post Payments Bank App,2.39,291.7,2.39,291.7,10,2021
India Post Payments Bank App,2.28,267.94,2.28,267.94,9,2021
India Post Payments Bank App,2,255.16,2,255.16,8,2021
India Post Payments Bank App,1.79,231.52,1.79,231.52,7,2021
India Post Payments Bank App,1.47,203.73,1.47,203.73,6,2021
India Post Payments Bank App,1.29,178.52,1.29,178.52,5,2021
India Post Payments Bank App,1.32,174.08,1.32,174.08,4,2021
India Post Payments Bank App,1.21,167.52,1.21,167.52,3,2021
India Post Payments Bank App,1.23,145.46,1.23,145.46,2,2021
India Post Payments Bank App,1.08,123.25,1.08,123.25,1,2021
Indian Bank App,0.12,42.71,0.12,42.71,12,2021
Indian Bank App,0.09,37.77,0.09,37.77,11,2021
Indian Bank App,0.09,38.84,0.09,38.84,10,2021
Indian Bank App,0.08,35.34,0.08,35.34,9,2021
Indian Bank App,0.08,34.46,0.08,34.46,8,2021
Indian Bank App,0.08,33.52,0.08,33.52,7,2021
Indian Bank App,0.05,25.18,0.05,25.18,6,2021
Indian Bank App,0.06,26.84,0.06,26.84,5,2021
Indian Bank App,0.06,24.13,0.06,24.13,4,2021
Indian Bank App,0.09,34.1,0.09,34.1,3,2021
Indian Bank App,0.05,12.38,0.05,12.38,2,2021
Indian Bank App,0.02,5.77,0.02,5.77,1,2021
IndusInd Bank App,1.19,1269.16,1.19,1269.16,12,2021
IndusInd Bank App,1.1,1407.31,1.1,1407.31,11,2021
IndusInd Bank App,1.05,1014.56,1.05,1014.56,10,2021
IndusInd Bank App,0.33,532.43,0.33,532.43,9,2021
IndusInd Bank App,0.52,570.21,0.52,570.21,8,2021
IndusInd Bank App,2.18,458.06,2.18,458.06,7,2021
IndusInd Bank App,2.18,421.41,2.18,421.41,6,2021
IndusInd Bank App,3.12,433.37,3.12,433.37,5,2021
IndusInd Bank App,4.2,654.49,4.2,654.49,4,2021
IndusInd Bank App,4.49,541.66,4.49,541.66,3,2021
IndusInd Bank App,2.16,379.54,2.16,379.54,2,2021
IndusInd Bank App,1.82,367.77,1.82,367.77,1,2021
Jammu and Kashmir Bank App,0.01,1.93,0.01,1.93,12,2021
Janta Sahakari Bank App,0.01,4.48,0.01,4.48,12,2021
Janta Sahakari Bank App,0.01,4.8,0.01,4.8,8,2021
Janta Sahakari Bank App,0.01,5.32,0.01,5.32,3,2021
Janta Sahakari Bank App,0.01,4.35,0.01,4.35,2,2021
Janta Sahakari Bank App,0.01,5.02,0.01,5.02,1,2021
Jio Payments Bank App,1.65,100.19,1.65,100.19,12,2021
Jio Payments Bank App,1.38,89.68,1.38,89.68,11,2021
Jio Payments Bank App,1.33,85.75,1.33,85.75,10,2021
Jio Payments Bank App,1.24,74.89,1.24,74.89,9,2021
Jio Payments Bank App,1.06,68.16,1.06,68.16,8,2021
Jio Payments Bank App,1.03,63.44,1.03,63.44,7,2021
Jio Payments Bank App,0.8,52.08,0.8,52.08,6,2021
Jio Payments Bank App,0.68,40.92,0.68,40.92,5,2021
Jio Payments Bank App,0.57,35.43,0.57,35.43,4,2021
Jio Payments Bank App,0.47,32.14,0.47,32.14,3,2021
Jio Payments Bank App,0.36,25.76,0.36,25.76,2,2021
Jio Payments Bank App,0.41,27.91,0.41,27.91,1,2021
Jupiter Money,0.98,177.92,0.98,177.92,12,2021
Jupiter Money,0.55,102.84,0.55,102.84,11,2021
Jupiter Money,0.29,60,0.29,60,10,2021
Jupiter Money,0.13,29.3,0.13,29.3,9,2021
Jupiter Money,0.07,17.36,0.07,17.36,8,2021
Jupiter Money,0.01,2.07,0.01,2.07,7,2021
Karnataka Bank App,0.25,30.03,0.25,30.03,12,2021
Karnataka Bank App,0.22,27.68,0.22,27.68,11,2021
Karnataka Bank App,0.2,25.71,0.2,25.71,10,2021
Karnataka Bank App,0.16,18.64,0.16,18.64,9,2021
Karnataka Bank App,0.12,15.38,0.12,15.38,8,2021
Karnataka Bank App,0.13,18.45,0.13,18.45,7,2021
Karnataka Bank App,0.12,22.51,0.12,22.51,6,2021
Karnataka Bank App,0.1,20.74,0.1,20.74,5,2021
Karnataka Bank App,0.12,21.13,0.12,21.13,4,2021
